unit_type,elo
Empire_Fighter_Cataphract_XylGaunt3,1937.60
Empire_Fighter_Cataphract_Hussar,1908.55
Mercenary_Slasher_XylGaunt3,1884.68
Mercenary_Gunner_XylGaunt3,1856.90
Empire_Fighter_Janissary_XylGaunt3,1856.08
Mercenary_Slasher_XylGaunt2,1841.12
Empire_Fighter_Cataphract_Yttakin,1828.79
Tribal_Berserker_XylGaunt2,1807.78
Tribal_Berserker_XylGaunt3,1806.99
Tribal_Archer_XylGaunt3,1795.26
Grenadier_Destructive_XylGaunt3,1793.42
Empire_Fighter_Cataphract_XylGaunt2,1783.94
Empire_Fighter_Cataphract_XylWarcat,1783.10
Empire_Fighter_Cataphract_Neanderthal,1773.48
Tribal_Penitent_XylGaunt3,1757.27
Mercenary_Sniper_XylGaunt3,1726.16
Empire_Fighter_Cataphract_Sanguophage,1716.09
Mercenary_Gunner_XylGaunt,1713.57
Empire_Fighter_Cataphract_Pigskin,1711.63
Mercenary_Sniper_XylGaunt2,1710.63
Mercenary_Gunner_XylGaunt2,1710.24
Scavenger_XylGaunt,1699.84
Tribal_Berserker_XylWarcat,1697.67
Tribal_Penitent_XylGaunt2,1696.87
Empire_Fighter_Cataphract_Impid,1692.64
Villager_XylGaunt2,1689.13
Empire_Fighter_Cataphract_XylTitan,1680.41
Grenadier_Destructive_XylGaunt,1678.20
Empire_Fighter_Cataphract_XylGaunt,1678.15
Grenadier_Destructive_XylGaunt2,1677.71
Empire_Fighter_Janissary_XylTitan,1675.29
Tribal_Penitent_XylGaunt,1661.51
Villager_XylGaunt3,1659.90
Empire_Fighter_Cataphract_XylDvergr,1651.95
Empire_Fighter_Janissary_Hussar,1650.11
Empire_Fighter_Cataphract_XylTrog,1646.23
Tribal_Penitent_XylWarcat,1644.60
Mercenary_Gunner_Hussar,1640.49
Mercenary_Slasher_XylGaunt,1637.46
Empire_Fighter_StellicGuardMelee_XylTrog,1632.58
Empire_Fighter_Janissary_XylGaunt2,1632.55
Town_Guard_XylGaunt3,1630.27
Empire_Fighter_Janissary_XylTrog,1629.83
Tribal_Archer_XylGaunt2,1626.19
Empire_Fighter_Cataphract_XylChyrrFixed,1625.54
Empire_Fighter_Cataphract_Baseliner,1621.39
Empire_Fighter_Janissary_Sanguophage,1619.18
Tribal_Archer_XylGaunt,1616.42
Empire_Fighter_StellicGuardRanged_XylTrog,1613.79
Scavenger_XylGaunt3,1613.30
Mercenary_Gunner_Yttakin,1610.90
Mercenary_Gunner_XylBossaps,1610.63
Empire_Fighter_Janissary_XylNixie,1608.68
Mercenary_Sniper_XylWarcat,1607.91
Empire_Fighter_Janissary_XylChyrr,1607.46
Empire_Fighter_StellicGuardMelee_Dirtmole,1605.15
Empire_Fighter_Cataphract_Starjack,1605.03
Empire_Fighter_StellicGuardMelee_Yttakin,1604.09
Empire_Fighter_Janissary_XylWarcat,1601.44
Town_Guard_XylGaunt2,1601.36
Empire_Fighter_Janissary_Yttakin,1600.45
Empire_Fighter_Janissary_XylBossaps,1597.36
Empire_Fighter_Janissary_Neanderthal,1594.92
Empire_Fighter_StellicGuardMelee_XylGaunt,1591.53
Mercenary_Gunner_XylTitan,1589.88
Mercenary_Slasher_Neanderthal,1588.87
Tribal_Berserker_XylGaunt,1585.57
Empire_Fighter_StellicGuardRanged_Waster,1584.41
Empire_Fighter_Janissary_XylGaunt,1583.62
Mercenary_Gunner_Neanderthal,1580.02
Empire_Fighter_Cataphract_XylSuccuboid,1577.28
Tribal_Berserker_Sanguophage,1577.10
Tribal_Berserker_Hussar,1575.75
Mercenary_Slasher_XylTrog,1573.57
Mercenary_Slasher_Hussar,1573.29
Grenadier_Destructive_XylWarcat,1571.60
Empire_Fighter_Cataphract_XylNixie,1570.22
Scavenger_XylBossaps,1569.32
Empire_Fighter_Cataphract_Waster,1568.53
Mercenary_Slasher_XylBossaps,1566.95
Tribal_Berserker_XylTrog,1566.60
Empire_Fighter_Janissary_XylSuccuboid,1562.91
Empire_Fighter_Janissary_Impid,1562.25
Mercenary_Sniper_Hussar,1558.82
Tribal_Penitent_Sanguophage,1556.46
Villager_XylBossaps,1553.39
Mercenary_Sniper_XylTrog,1553.28
Empire_Fighter_Janissary_Pigskin,1551.92
Empire_Fighter_StellicGuardMelee_Genie,1551.70
Mercenary_Gunner_XylTrog,1550.17
Mercenary_Slasher_XylWarcat,1549.20
Mercenary_Sniper_XylTitan,1548.60
Grenadier_Destructive_Yttakin,1547.77
Tribal_Penitent_Neanderthal,1545.11
Empire_Fighter_Janissary_Starjack,1544.93
Mercenary_Gunner_XylSuccuboid,1544.75
Mercenary_Slasher_Yttakin,1543.46
Empire_Fighter_Janissary_Genie,1532.06
Town_Guard_Hussar,1531.71
Tribal_Penitent_Hussar,1528.52
Tribal_Penitent_XylBossaps,1528.08
Empire_Fighter_Cataphract_XylBossaps,1527.55
Empire_Fighter_Cataphract_Genie,1523.45
Empire_Fighter_Janissary_XylDvergr,1521.60
Mercenary_Gunner_XylChyrrFixed,1519.93
Mercenary_Sniper_XylBossaps,1518.26
Tribal_Berserker_Neanderthal,1517.79
Scavenger_XylWarcat,1517.00
Town_Guard_Yttakin,1514.96
Mercenary_Sniper_Neanderthal,1514.50
Tribal_Berserker_XylTitan,1514.30
Villager_XylGaunt,1513.94
Villager_XylTitan,1512.67
Mercenary_Sniper_XylGaunt,1512.60
Tribal_Penitent_Pigskin,1511.70
Mercenary_Gunner_Pigskin,1511.59
Villager_Neanderthal,1510.84
Town_Guard_XylBossaps,1508.94
Mercenary_Gunner_Impid,1505.86
Tribal_Berserker_Pigskin,1503.56
Scavenger_XylChyrrFixed,1503.28
Empire_Fighter_Janissary_Dirtmole,1502.50
Empire_Fighter_Cataphract_Dirtmole,1501.20
Mercenary_Gunner_Baseliner,1500.49
Mercenary_Gunner_XylWarcat,1499.88
Mercenary_Gunner_XylNixie,1499.05
